#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC05350.JPG	37.4892116688	140.9971920404	201.0854492188	
DSC05351.JPG	37.4891911732	140.9977633228	200.9619293213	
DSC05352.JPG	37.4892226423	140.9983507177	200.9700927734	
DSC05353.JPG	37.4892261286	140.9989268947	199.2758941650	
DSC05354.JPG	37.4892044075	140.9995099048	199.0759124756	
DSC05355.JPG	37.4892303746	141.0001130779	199.1284332275	
DSC05356.JPG	37.4892324754	141.0007213988	199.0726776123	
DSC05357.JPG	37.4897333997	141.0002491671	199.7533111572	
DSC05358.JPG	37.4897804337	140.9996342471	199.8081817627	
DSC05359.JPG	37.4897232572	140.9990546883	200.4873046875	
DSC05360.JPG	37.4897341550	140.9984679280	198.6027221680	
DSC05361.JPG	37.4897506298	140.9978745356	200.0684051514	
DSC05362.JPG	37.4897420430	140.9972771839	199.9241027832	
DSC05363.JPG	37.4897426578	140.9966486564	201.1503906250	
DSC05364.JPG	37.4897349495	140.9960132923	201.2581787109	
DSC05365.JPG	37.4897392788	140.9953764729	200.3224792480	
DSC05366.JPG	37.4897559469	140.9947625143	200.0775451660	
DSC05367.JPG	37.4897391720	140.9941403106	200.7534179688	
DSC05368.JPG	37.4897571166	140.9935209247	199.8134460449	
DSC05369.JPG	37.4897355445	140.9928898928	199.9868316650	
DSC05370.JPG	37.4897527959	140.9922737870	199.8086242676	
DSC05371.JPG	37.4897545359	140.9916604940	199.5616455078	
DSC05372.JPG	37.4897476760	140.9910623090	200.3623962402	
DSC05373.JPG	37.4897432649	140.9904435907	199.1870422363	
DSC05374.JPG	37.4897366800	140.9898716397	199.6275177002	
DSC05375.JPG	37.4897646284	140.9892959044	199.3990325928	
DSC05376.JPG	37.4903156787	140.9892798055	200.0488128662	
DSC05377.JPG	37.4903319808	140.9898739298	200.0678710938	
DSC05378.JPG	37.4903198032	140.9904262328	201.0689392090	
DSC05379.JPG	37.4903161906	140.9909970238	199.5976562500	
DSC05380.JPG	37.4903361766	140.9915763028	198.4461059570	
DSC05381.JPG	37.4903375703	140.9921273733	199.1545104980	
DSC05382.JPG	37.4903307551	140.9927235420	200.1115570068	
DSC05383.JPG	37.4903212014	140.9932687902	198.7817077637	
DSC05384.JPG	37.4902947257	140.9938759100	198.0367584229	
DSC05385.JPG	37.4903258851	140.9944240581	199.4565582275	
DSC05386.JPG	37.4903498277	140.9949970831	198.8742523193	
DSC05387.JPG	37.4903305768	140.9955542534	200.9196319580	
DSC05388.JPG	37.4903021230	140.9961174465	199.8530426025	
DSC05389.JPG	37.4903582429	140.9966650255	201.3748931885	
DSC05390.JPG	37.4903243213	140.9972366070	199.3859863281	
DSC05391.JPG	37.4902741726	140.9977995163	201.7019805908	
DSC05392.JPG	37.4903098619	140.9983829430	199.1572113037	
DSC05393.JPG	37.4903055692	140.9989653025	201.2314910889	
DSC05394.JPG	37.4903392126	140.9995349158	198.9242706299	
DSC05395.JPG	37.4903147499	141.0001045262	199.5384674072	
DSC05396.JPG	37.4903582372	141.0006838719	198.4894714355	
DSC05397.JPG	37.4903432027	141.0012581108	198.6468811035	
DSC05398.JPG	37.4903345314	141.0018468219	198.9695281982	
DSC05399.JPG	37.4908528955	141.0015805509	198.0787353516	
DSC05400.JPG	37.4909203157	141.0010289212	197.9013824463	
DSC05401.JPG	37.4908956063	141.0004235348	197.0913848877	
DSC05402.JPG	37.4908776332	140.9997926571	198.4910125732	
DSC05403.JPG	37.4908888307	140.9991847200	200.1493988037	
DSC05404.JPG	37.4908741237	140.9985808252	201.3535308838	
DSC05405.JPG	37.4908816827	140.9979545840	202.0792388916	
DSC05406.JPG	37.4908851118	140.9973119994	201.3078613281	
DSC05407.JPG	37.4908756649	140.9966743964	200.6588897705	
DSC05408.JPG	37.4908770109	140.9960674313	201.8369903564	
DSC05409.JPG	37.4908895521	140.9954586274	201.1381225586	
DSC05410.JPG	37.4908845703	140.9948477745	200.1279907227	
DSC05411.JPG	37.4908870660	140.9942242173	199.5803680420	
DSC05412.JPG	37.4909103543	140.9936298983	200.6030120850	
DSC05413.JPG	37.4909043672	140.9929770152	200.6346588135	
DSC05414.JPG	37.4908766917	140.9923870483	199.7982177734	
DSC05415.JPG	37.4909084486	140.9917760635	199.6757965088	
DSC05416.JPG	37.4908836405	140.9911406939	200.0015716553	
DSC05417.JPG	37.4908789530	140.9904652770	200.0403900146	
DSC05418.JPG	37.4908964017	140.9899238631	200.5302886963	
DSC05419.JPG	37.4909031146	140.9893332757	199.3415527344	
DSC05420.JPG	37.4908895537	140.9887240535	198.2208099365	
DSC05421.JPG	37.4908924090	140.9881115021	199.0525970459	
DSC05422.JPG	37.4908847105	140.9875016297	200.4355926514	
DSC05423.JPG	37.4909048922	140.9868986156	201.4292144775	
DSC05424.JPG	37.4908879622	140.9863210949	200.2416229248	
DSC05425.JPG	37.4908787790	140.9857358240	199.4379577637	
DSC05426.JPG	37.4914587209	140.9860347008	198.9498901367	
DSC05427.JPG	37.4914748996	140.9866167823	199.5700225830	
DSC05428.JPG	37.4914497427	140.9871718719	199.6220550537	
DSC05429.JPG	37.4914508748	140.9877211317	197.1361236572	
DSC05430.JPG	37.4914737312	140.9883395697	199.5481719971	
DSC05431.JPG	37.4914729249	140.9888885111	199.5370330811	
DSC05432.JPG	37.4914635240	140.9894593831	198.6324920654	
DSC05433.JPG	37.4914649428	140.9900165522	200.0945129395	
DSC05434.JPG	37.4914620921	140.9906198495	200.0287780762	
DSC05435.JPG	37.4914675880	140.9912012192	200.8865661621	
DSC05436.JPG	37.4914743950	140.9917406127	200.9681549072	
DSC05437.JPG	37.4914666398	140.9923092255	199.7015380859	
DSC05438.JPG	37.4914646340	140.9928748992	199.7499694824	
DSC05439.JPG	37.4914834881	140.9934535931	199.0224151611	
DSC05440.JPG	37.4913905114	140.9939955259	200.6599578857	
DSC05441.JPG	37.4915014025	140.9945677565	200.3116455078	
DSC05442.JPG	37.4914605756	140.9951275078	200.7947540283	
DSC05443.JPG	37.4914577000	140.9957039552	198.6905822754	
DSC05444.JPG	37.4914748999	140.9962394368	200.3308715820	
